St  Name                           Version                        Arch   Description                                                  Licenses
ii  libncursesw5:armhf             5.9+20140913-1                 armhf  shared libraries for terminal handling (wide character suppo unknown
ii  libnettle4:armhf               2.7.1-5+deb8u1                 armhf  low level cryptographic library (symmetric and one-way crypt GAP GPL-2 GPL-2+ LGPL-2+ LGPL-2.1+ other public-domain
ii  libnewt0.52:armhf              0.52.17-1                      armhf  Not Erik's Windowing Toolkit - text mode windowing with slan LGPL-2
ii  libnfnetlink0:armhf            1.0.1-3                        armhf  Netfilter netlink library                                    GPL
ii  libnfsidmap2:armhf             0.25-5                         armhf  NFS idmapping library                                        unknown
ii  libnih-dbus1                   1.0.3-4.3                      armhf  NIH D-Bus Bindings Library                                   GPL-2
ii  libnih1                        1.0.3-4.3                      armhf  NIH Utility Library                                          GPL-2
ii  libnl-3-200:armhf              3.2.24-2                       armhf  library for dealing with netlink sockets                     GPL-2 LGPL-2.1
ii  libnl-genl-3-200:armhf         3.2.24-2                       armhf  library for dealing with netlink sockets - generic netlink   GPL-2 LGPL-2.1
ii  libnl-route-3-200:armhf        3.2.24-2                       armhf  library for dealing with netlink sockets - route interface   GPL-2 LGPL-2.1
ii  libnss-mdns:armhf              0.10-6                         armhf  NSS module for Multicast DNS name resolution                 LGPL-2+
ii  libopts25:armhf                1:5.18.4-3                     armhf  automated option processing library based on autogen         GPL-2+ GPL-2+ or LGPL-3+ or Modified_BSD GPL-3+ GPL-3+. LGPL-2.1+ LGPL-3+ LGPL-3+ or Modified_BSD Modified_BSD
ii  libp11-kit0:armhf              0.20.7-1                       armhf  Library for loading and coordinating access to PKCS#11 modul BSD-3-Clause This file is distributed under the same license as the debian This file is distributed under the same license as the p11-kit
ii  libpackage-constants-perl      0.04-1                         all    List constants defined in a package                          Artistic Artistic or GPL-1+ GPL-1+
ii  libpam-modules:armhf           1.1.8-3.1+deb8u1               armhf  Pluggable Authentication Modules for PAM                     GPL
ii  libpam-modules-bin             1.1.8-3.1+deb8u1               armhf  Pluggable Authentication Modules for PAM - helper binaries   GPL
ii  libpam-runtime                 1.1.8-3.1+deb8u1               all    Runtime support for the PAM library                          GPL
ii  libpam0g:armhf                 1.1.8-3.1+deb8u1               armhf  Pluggable Authentication Modules library                     GPL
ii  libparams-util-perl            1.07-2+b1                      armhf  Perl extension for simple stand-alone param checking functio Artistic Artistic or GPL-1+ GPL-1+
ii  libparted2:armhf               3.2-7                          armhf  disk partition manipulator - shared library                  GPL-3
ii  libpcap0.8:armhf               1.6.2-2                        armhf  system interface for user-level packet capture               BSD license
ii  libpcre3:armhf                 2:8.35-3.3+deb8u4              armhf  Perl 5 Compatible Regular Expression Library - runtime files "BSD" LICENCE "BSD" License
ii  libpcsclite1:armhf             1.8.13-1                       armhf  Middleware to access a smart card using PC/SC (library)      BSD-3-clause Expat GPL-3+ ISC
ii  libpipeline1:armhf             1.4.0-1                        armhf  pipeline manipulation library                                GPL-2+ GPL-3+
ii  libplymouth4:armhf             0.9.2-3+rpi1                   armhf  graphical boot animation and logger - shared libraries       GPL-2+ other
ii  libpng12-0:armhf               1.2.50-2+deb8u2                armhf  PNG library - runtime                                        GPL-2
ii  libpng12-dev:armhf             1.2.50-2+deb8u2                armhf  PNG library - development                                    GPL-2
ii  libpod-latex-perl              0.61-1                         all    module to convert Pod data to formatted LaTeX                Artistic Artistic or GPL-1+ GPL-1+
ii  libpod-readme-perl             0.11-1                         all    Perl module to convert POD to README file                    Artistic GPL-1
ii  libpopt0:armhf                 1.16-10                        armhf  lib for parsing cmdline parameters                           GPL-2+ X-Consortium
ii  libprocps3:armhf               2:3.3.9-9                      armhf  library for accessing process information from /proc         GPL-2 LGPL-2
ii  libpsl0:armhf                  0.5.1-1                        armhf  Library for Public Suffix List (shared libraries)            CC0 MIT MPL-2.0
ii  libpython-dev:armhf            2.7.9-1                        armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  libpython-stdlib:armhf         2.7.9-1                        armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython2.7:armhf             2.7.9-2+deb8u1                 armhf  Shared Python runtime library (version 2.7)                  Apache-2.0 GPL-2
ii  libpython2.7-dev:armhf         2.7.9-2+deb8u1                 armhf  Header files and a static library for Python (v2.7)          Apache-2.0 GPL-2
ii  libpython2.7-minimal:armhf     2.7.9-2+deb8u1                 armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  libpython2.7-stdlib:armhf      2.7.9-2+deb8u1                 armhf  Interactive high-level object-oriented language (standard li Apache-2.0 GPL-2
ii  libraspberrypi-bin             1.20160921-1                   armhf  Miscellaneous Raspberry Pi utilities                         Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-dev             1.20160921-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-doc             1.20160921-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi0                1.20160921-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libreadline6:armhf             6.3-8                          armhf  GNU readline and history libraries, run-time libraries       GPL-3
ii  libregexp-common-perl          2013031301-1                   all    module with common regular expressions                       Artistic Artistic or GPL-1+ or Artistic-2.0 or BSD or MIT Artistic-2.0 BSD GPL-1+ MIT
ii  librtmp1:armhf                 2.4+20150115.gita107cef-1      armhf  toolkit for RTMP streams (shared library)                    GPL-2 LGPL-2.1
ii  libsamplerate0:armhf           0.1.8-8                        armhf  Audio sample rate conversion library                         GPL
ii  libsasl2-2:armhf               2.1.26.dfsg1-13+deb8u1         armhf  Cyrus SASL - authentication abstraction library              BSD-4-clause GPL-2+ or BSD-2-clause GPL-3+
ii  libsasl2-modules:armhf         2.1.26.dfsg1-13+deb8u1         armhf  Cyrus SASL - pluggable authentication modules                BSD-4-clause GPL-2+ or BSD-2-clause GPL-3+
ii  libsasl2-modules-db:armhf      2.1.26.dfsg1-13+deb8u1         armhf  Cyrus SASL - pluggable authentication modules (DB)           BSD-4-clause GPL-2+ or BSD-2-clause GPL-3+
ii  libselinux1:armhf              2.3-2                          armhf  SELinux runtime shared libraries                             GPL-2 LGPL-2.1
ii  libsemanage-common             2.3-1                          all    Common files for SELinux policy management libraries         GPL LGPL
ii  libsemanage1:armhf             2.3-1                          armhf  SELinux policy management library                            GPL LGPL
ii  libsepol1:armhf                2.3-2                          armhf  SELinux library for manipulating binary security policies    GPL LGPL
ii  libsigc++-1.2-5c2              1.2.7-2+b1                     armhf  type-safe Signal Framework for C++ - runtime                 LGPL
ii  libsigc++-2.0-0c2a:armhf       2.4.0-1                        armhf  type-safe Signal Framework for C++ - runtime                 LGPL-2.1
ii  libslang2:armhf                2.3.0-2                        armhf  S-Lang programming library - runtime version                 GPL-2+
ii  libsmartcols1:armhf            2.25.2-6                       armhf  smart column output alignment library                        BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libsoftware-license-perl       0.103010-3                     all    module providing templated software licenses                 Artistic Artistic or GPL-1+ GPL-1+
ii  libsqlite3-0:armhf             3.8.7.1-1+deb8u2               armhf  SQLite 3 shared library                                      GPL-2+ public-domain
ii  libss2:armhf                   1.42.12-2                      armhf  command-line interface parsing library                       unknown
ii  libssh2-1:armhf                1.4.3-4.1+deb8u1               armhf  SSH2 client-side library                                     BSD
ii  libssl1.0.0:armhf              1.0.1t-1+deb8u3                armhf  Secure Sockets Layer toolkit - shared libraries              BSD-style
ii  libstdc++-4.9-dev:armhf        4.9.2-10                       armhf  GNU Standard C++ Library v3 (development files)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libstdc++6:armhf               4.9.2-10                       armhf  GNU Standard C++ Library v3                                  Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libsub-exporter-perl           0.986-1                        all    sophisticated exporter for custom-built routines             Artistic Artistic or GPL-1+ GPL-1+
ii  libsub-install-perl            0.928-1                        all    module for installing subroutines into packages easily       Artistic Artistic or GPL-1+ GPL-1+
ii  libsysfs2:armhf                2.1.0+repack-4                 armhf  interface library to sysfs                                   GPL LGPL
ii  libsystemd0:armhf              215-17+deb8u5                  armhf  systemd utility library                                      Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libtalloc2:armhf               2.1.2-0+deb8u1                 armhf  hierarchical pool based memory allocator                     BSD-3 ISC LGPL-3+
ii  libtasn1-6:armhf               4.2-3+deb8u2                   armhf  Manage ASN.1 structures (runtime)                            GFDL-1.3 GPL-3 LGPL LGPL-2.1
ii  libterm-ui-perl                0.42-1                         all    Term::ReadLine UI made easy                                  Artistic Artistic or GPL-1+ GPL-1+
ii  libtext-charwidth-perl         0.04-7+b4                      armhf  get display widths of characters on the terminal             Artistic GPL-2
ii  libtext-iconv-perl             1.7-5+b5                       armhf  converts between character sets in Perl                      Artistic GPL-2
ii  libtext-soundex-perl           3.4-1+b2                       armhf  implementation of the soundex algorithm                      Artistic Artistic or GPL-1+ GPL-1+ other
ii  libtext-template-perl          1.46-1                         all    perl module to process text templates                        Artistic Artistic or GPL-1+ GPL-1+
ii  libtext-wrapi18n-perl          0.06-7                         all    internationalized substitute of Text::Wrap                   Artistic GPL
ii  libtimedate-perl               2.3000-2                       all    collection of modules to manipulate date/time information    Artistic Artistic or GPL-1+ GPL-1+
ii  libtinfo5:armhf                5.9+20140913-1                 armhf  shared low-level terminfo library for terminal handling      unknown
ii  libtirpc1:armhf                0.2.5-1                        armhf  transport-independent RPC library                            GPL-2
ii  libubsan0:armhf                4.9.2-10                       armhf  UBSan -- undefined behaviour sanitizer (runtime)             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libudev0:armhf                 175-7.2                        armhf  libudev shared library                                       GPL-2 LGPL-2.1
ii  libudev1:armhf                 215-17+deb8u5                  armhf  libudev shared library                                       Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libusb-0.1-4:armhf             2:0.1.12-25                    armhf  userspace USB programming library                            LGPL
ii  libusb-1.0-0:armhf             2:1.0.19-1                     armhf  userspace USB programming library                            GPL-2 LGPL-2.1
ii  libustr-1.0-1:armhf            1.0.4-3                        armhf  Micro string library: shared library                         BSD-2-clause GPL-2+ LGPL-2+ LGPL-2+ or BSD-2-clause or MIT MIT
ii  libuuid1:armhf                 2.25.2-6                       armhf  Universally Unique ID library                                BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libv4l-0:armhf                 1.6.0-2                        armhf  Collection of video4linux support libraries                  GPL-2 LGPL
ii  libv4l2rds0:armhf              1.6.0-2                        armhf  Video4Linux Radio Data System (RDS) decoding library         GPL-2 LGPL
ii  libv4lconvert0:armhf           1.6.0-2                        armhf  Video4linux frame format conversion library                  GPL-2 LGPL
ii  libwbclient0:armhf             2:4.2.10+dfsg-0+deb8u3         armhf  Samba winbind client library                                 BSD-3 GPL-3 GPL-3+ LGPL-3+
ii  libwrap0:armhf                 7.6.q-25                       armhf  Wietse Venema's TCP wrappers library                         unknown
ii  libx11-6:armhf                 2:1.6.2-3                      armhf  X11 client-side library                                      MIT license
ii  libx11-data                    2:1.6.2-3                      all    X11 client-side library                                      MIT license
ii  libxapian22                    1.2.19-1+deb8u1                armhf  Search engine library                                        GPL-2
ii  libxau6:armhf                  1:1.0.8-1                      armhf  X11 authorisation library                                    unknown
ii  libxcb1:armhf                  1.10-3                         armhf  X C Binding                                                  unknown
ii  libxdmcp6:armhf                1:1.1.1-1                      armhf  X11 Display Manager Control Protocol library                 unknown
ii  libxext6:armhf                 2:1.3.3-1                      armhf  X11 miscellaneous extension library                          unknown
ii  libxml2:armhf                  2.9.1+dfsg1-5+deb8u3           armhf  GNOME XML library                                            unknown
ii  libxmuu1:armhf                 2:1.1.2-1                      armhf  X11 miscellaneous micro-utility library                      unknown
ii  libxtables10                   1.4.21-2                       armhf  netfilter xtables library                                    Artistic-2 GPL-2
ii  linux-libc-dev:armhf           3.16.7-ckt11-1+deb8u4+rpi1     armhf  Linux support headers for userspace development              GPL-2 Unicode-data Xen-interface
ii  locales                        2.19-18+deb8u6                 all    GNU C Library: National Language (locale) data [support]     GPL-2 LGPL-2.1
ii  login                          1:4.2-3+deb8u1                 armhf  system login tools                                           GPL-2
ii  logrotate                      3.8.7-1                        armhf  Log rotation utility                                         GPL-2
ii  lsb-base                       4.1+Debian13+rpi1+nmu1         all    Linux Standard Base 4.1 init script functionality            BSD-3-clause GPL-2
ii  lsb-release                    4.1+Debian13+rpi1+nmu1         all    Linux Standard Base version reporting utility                BSD-3-clause GPL-2
ii  lua5.1                         5.1.5-7.1                      armhf  Simple, extensible, embeddable programming language          unknown
ii  luajit                         2.0.3+dfsg-3                   armhf  Just in time compiler for Lua programming language version 5 MIT/X PD
ii  make                           4.0-8.1                        armhf  utility for directing compilation                            GPL-2
ii  makedev                        2.3.1-93                       all    creates device files in /dev                                 GPL
ii  man-db                         2.7.0.2-5                      armhf  on-line manual pager                                         GPL-2+ GPL-3+
ii  manpages                       3.74-1                         all    Manual pages about using a GNU/Linux system                  GPL
ii  manpages-dev                   3.74-1                         all    Manual pages about using GNU/Linux for development           GPL
ii  mawk                           1.3.3-17                       armhf  a pattern scanning and text processing language              GPL-2
ii  mime-support                   3.58                           all    MIME files 'mime.types' & 'mailcap', and support programs    Bellcore ad-hoc
ii  module-init-tools              18-3                           all    transitional dummy package (module-init-tools to kmod)       GPL-2 LGPL-2.1
ii  mount                          2.25.2-6                       armhf  Tools for mounting and manipulating filesystems              BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  mountall                       2.54                           armhf  filesystem mounting tool                                     GPL-2 LGPL-2+
ii  multiarch-support              2.19-18+deb8u6                 armhf  Transitional package to ensure multiarch compatibility       GPL-2 LGPL-2.1
ii  nano                           2.2.6-3                        armhf  small, friendly text editor inspired by Pico                 GFDL-1.2 GPL-3
ii  ncdu                           1.10-1                         armhf  ncurses disk usage viewer                                    GPL
ii  ncurses-base                   5.9+20140913-1                 all    basic terminal type definitions                              unknown
ii  ncurses-bin                    5.9+20140913-1                 armhf  terminal-related programs and man pages                      unknown
ii  ncurses-term                   5.9+20140913-1                 all    additional terminal type definitions                         unknown
ii  net-tools                      1.60-26                        armhf  NET-3 networking toolkit                                     GPL-2
ii  netbase                        5.3                            all    Basic TCP/IP networking system                               GPL-2
ii  netcat-openbsd                 1.105-7                        armhf  TCP/IP swiss army knife                                      BSD-3-Clause
ii  netcat-traditional             1.10-41                        armhf  TCP/IP swiss army knife                                      unknown
ii  nfs-common                     1:1.2.8-9                      armhf  NFS support files common to client and server                GPL-2
ii  ntp                            1:4.2.6.p5+dfsg-7+deb8u2       armhf  Network Time Protocol daemon and utility programs            unknown
ii  openresolv                     3.5.2-1                        all    management framework for resolv.conf                         BSD-2-clause
ii  openssh-client                 1:6.7p1-5+deb8u3               armhf  secure shell (SSH) client, for secure access to remote machi GPL-2
ii  openssh-server                 1:6.7p1-5+deb8u3               armhf  secure shell (SSH) server, for secure access from remote mac GPL-2
ii  openssh-sftp-server            1:6.7p1-5+deb8u3               armhf  secure shell (SSH) sftp server module, for SFTP access from  GPL-2
ii  openssl                        1.0.1t-1+deb8u3                armhf  Secure Sockets Layer toolkit - cryptographic utility         BSD-style
ii  parted                         3.2-7                          armhf  disk partition manipulator                                   GPL-3
ii  passwd                         1:4.2-3+deb8u1                 armhf  change and administer password and group data                GPL-2
ii  patch                          2.7.5-1                        armhf  Apply a diff file to an original                             GPL
ii  perl                           5.20.2-3+deb8u6                armhf  Larry Wall's Practical Extraction and Report Language        Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-4-clause BSD-4-clause-POWERDOG BZIP DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-1+ or Artistic-2 GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-base                      5.20.2-3+deb8u6                armhf  minimal Perl system                                          Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-4-clause BSD-4-clause-POWERDOG BZIP DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-1+ or Artistic-2 GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-modules                   5.20.2-3+deb8u6                all    Core Perl modules                                            Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-4-clause BSD-4-clause-POWERDOG BZIP DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-1+ or Artistic-2 GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  pi-bluetooth                   0.1.1                          armhf  Raspberry Pi 3 bluetooth                                     BSD-3-Clause
ii  pkg-config                     0.28-1                         armhf  manage compile and link flags for libraries                  GPL
ii  plymouth                       0.9.2-3+rpi1                   armhf  boot animation, logger and I/O multiplexer                   GPL-2+ other
ii  procps                         2:3.3.9-9                      armhf  /proc file system utilities                                  GPL-2 LGPL-2
ii  psmisc                         22.21-2                        armhf  utilities that use the proc file system                      GPL-2+
ii  python                         2.7.9-1                        armhf  interactive high-level object-oriented language (default ver GPL-compatible GPL-compatible licenses
ii  python-apt                     0.9.3.12                       armhf  Python interface to libapt-pkg                               GPL-2
ii  python-apt-common              0.9.3.12                       all    Python interface to libapt-pkg (locales)                     GPL-2
ii  python-cffi                    0.8.6-1                        armhf  Foreign Function Interface for Python calling C code         Expat
ii  python-chardet                 2.3.0-1                        all    universal character encoding detector for Python2            LGPL-2.1+
ii  python-cryptography            0.6.1-1                        armhf  Python library exposing cryptographic recipes and primitives Apache Expat
ii  python-dev                     2.7.9-1                        armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  python-minimal                 2.7.9-1                        armhf  minimal subset of the Python language (default version)      GPL-compatible GPL-compatible licenses
ii  python-ndg-httpsclient         0.3.2-1                        all    enhanced HTTPS support for httplib and urllib2 using PyOpenS unknown
ii  python-numpy                   1:1.8.2-2                      armhf  Numerical Python adds a fast array facility to the Python la public domain
ii  python-openssl                 0.13.1-2                       armhf  Python 2 wrapper around the OpenSSL library                  Apache-2.0
ii  python-picamera                1.12                           armhf  Pure Python interface to the Raspberry Pi's camera module.   BSD-3-Clause GPL-2+ public-domain
ii  python-pkg-resources           5.5.1-1                        all    Package Discovery and Resource Access using pkg_resources    GPL-compatible GPL-compatible licenses
ii  python-ply                     3.4-5                          all    Lex and Yacc implementation for Python2                      BSD-3-clause
ii  python-pyasn1                  0.1.7-1                        all    ASN.1 library for Python (Python 2 module)                   BSD-2-clause GPL-2+
ii  python-pycparser               2.10+dfsg-3                    all    C parser in Python                                           bsd-3-bendersky
ii  python-requests                2.4.3-6                        all    elegant and simple HTTP library for Python2, built for human Apache Expat LGPL-2.1+ PSF-2
ii  python-rpi.gpio                0.6.2~jessie-1                 armhf  Python GPIO module for Raspberry Pi                          MIT
ii  python-six                     1.8.0-1                        all    Python 2 and 3 compatibility library (Python 2 interface)    Expat
ii  python-support                 1.0.15                         all    automated rebuilding support for Python modules              LGPL-2.1
ii  python-urllib3                 1.9.1-3                        all    HTTP library with thread-safe connection pooling for Python  Expat PSF-2
ii  python2.7                      2.7.9-2+deb8u1                 armhf  Interactive high-level object-oriented language (version 2.7 Apache-2.0 GPL-2
ii  python2.7-dev                  2.7.9-2+deb8u1                 armhf  Header files and a static library for Python (v2.7)          Apache-2.0 GPL-2
ii  python2.7-minimal              2.7.9-2+deb8u1                 armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  raspberrypi-bootloader         1.20160921-1                   armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  raspberrypi-kernel             1.20160921-1                   armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  raspberrypi-sys-mods           20160916                       all    System tweaks for the Raspberry Pi                           BSD-3-Clause
ii  raspbian-archive-keyring       20120528.2                     all    GnuPG archive keys of the raspbian archive                   GPL-2
ii  raspi-config                   20160810                       all    Raspberry Pi configuration tool                              unknown
ii  raspi-copies-and-fills         0.5-1                          armhf  ARM-accelerated versions of selected functions from string.h BSD-3-Clause
ii  readline-common                6.3-8                          all    GNU readline and history libraries, common files             GPL-3
ii  rename                         0.20-3                         all    Perl extension for renaming multiple files                   Artistic Artistic or GPL-1+ GPL-1+
ii  rpcbind                        0.2.1-6+deb8u1                 armhf  converts RPC program numbers into universal addresses        GPL-3
ii  rsync                          3.1.1-3                        armhf  fast, versatile, remote (and local) file-copying tool        GPL-3
ii  rsyslog                        8.4.2-1+deb8u2                 armhf  reliable system and kernel logging daemon                    Apache-2.0 BSD-3-clause GPL-3.0+ LGPL-3.0+
ii  samba-common                   2:4.2.10+dfsg-0+deb8u3         all    common files used by both the Samba server and client        BSD-3 GPL-3 GPL-3+ LGPL-3+
ii  scons                          2.3.1-2                        all    replacement for make                                         unknown
ii  sed                            4.2.2-4                        armhf  The GNU sed stream editor                                    GPL
ii  sensible-utils                 0.0.9                          all    Utilities for sensible alternative selection                 GPL-2
ii  sgml-base                      1.26+nmu4                      all    SGML infrastructure and SGML catalog file support            GPL
ii  shared-mime-info               1.3-1                          armhf  FreeDesktop.org shared MIME database and spec                GPL
ii  ssh                            1:6.7p1-5+deb8u3               all    secure shell client and server (metapackage)                 GPL-2
ii  startpar                       0.59-3                         armhf  run processes in parallel and multiplex their output         GPL-2+
ii  strace                         4.9-2                          armhf  System call tracer                                           unknown
ii  sudo                           1.8.10p3-1+deb8u3              armhf  Provide limited super user privileges to specific users      unknown
ii  swig                           2.0.12-1                       armhf  Generate scripting interfaces to C/C++ code                  GPL GPL-3
ii  swig2.0                        2.0.12-1                       armhf  Generate scripting interfaces to C/C++ code                  GPL GPL-3
ii  systemd                        215-17+deb8u5                  armhf  system and service manager                                   Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  systemd-sysv                   215-17+deb8u5                  armhf  system and service manager - SysV links                      Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  sysv-rc                        2.88dsf-59                     all    System-V-like runlevel change mechanism                      GPL-2
ii  sysvinit-utils                 2.88dsf-59                     armhf  System-V-like utilities                                      GPL-2
ii  tar                            1.27.1-2                       armhf  GNU version of the tar archiving utility                     GPL-2 GPL-3
ii  tasksel                        3.31+deb8u1                    all    tool for selecting tasks for installation on Debian systems  GPL-2
ii  tasksel-data                   3.31+deb8u1                    all    official tasks used for installation of Debian systems       GPL-2
ii  tcpd                           7.6.q-25                       armhf  Wietse Venema's TCP wrapper utilities                        unknown
ii  tcpdump                        4.9.0-1~deb8u1                 armhf  command-line network traffic analyzer                        4-clause BSD license BSD license
ii  traceroute                     1:2.0.20-2                     armhf  Traces the route taken by packets over an IPv4/IPv6 network  GPL-2+ LGPL-2.1+
ii  triggerhappy                   0.3.4-2                        armhf  global hotkey daemon for Linux                               GPL-3
ii  tzdata                         2016f-0+deb8u1                 all    time zone and daylight-saving time data                      public domain
ii  ucf                            3.0030                         all    Update Configuration File(s): preserve user changes to confi GPL-2
ii  udev                           215-17+deb8u5                  armhf  /dev/ and hotplug management daemon                          Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  udhcpd                         1:1.22.0-9+deb8u1              armhf  Provides the busybox DHCP server implementation              GPL-2
ii  unzip                          6.0-16+deb8u2                  armhf  De-archiver for .zip files                                   unknown
ii  usb-modeswitch                 2.2.0+repack0-2                armhf  mode switching tool for controlling "flip flop" USB devices  GPL-2
ii  usb-modeswitch-data            20150115-1                     all    mode switching data for usb-modeswitch                       GPL-2
ii  usbutils                       1:007-2                        armhf  Linux USB utilities                                          GPL-2
ii  util-linux                     2.25.2-6                       armhf  Miscellaneous system utilities                               BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  v4l-utils                      1.6.0-2                        armhf  Collection of command line video4linux utilities             GPL-2 LGPL
ii  vim                            2:7.4.488-7+deb8u1             armhf  Vi IMproved - enhanced vi editor                             GPL-2
ii  vim-common                     2:7.4.488-7+deb8u1             armhf  Vi IMproved - Common files                                   GPL-2
ii  vim-runtime                    2:7.4.488-7+deb8u1             all    Vi IMproved - Runtime files                                  GPL-2
ii  vim-tiny                       2:7.4.488-7+deb8u1             armhf  Vi IMproved - enhanced vi editor - compact version           GPL-2
ii  wget                           1.16-1+deb8u1                  armhf  retrieves files from the web                                 GFDL-1.2 GPL-3
ii  whiptail                       0.52.17-1                      armhf  Displays user-friendly dialog boxes from shell scripts       LGPL-2
ii  wireless-regdb                 2014.11.18-1                   all    wireless regulatory database                                 ISC
ii  wireless-tools                 30~pre9-8                      armhf  Tools for manipulating Linux Wireless Extensions             GPL-2 LGPL-2.1
ii  wiringpi                       2.32                           armhf  The wiringPi libraries, headers and gpio command             unknown
ii  wpasupplicant                  2.3-1+deb8u4                   armhf  client support for WPA and WPA2 (IEEE 802.11i)               BSD-3-clause BSD-3-clause or GPL-2 GPL-2 ISC public-domain
ii  xauth                          1:1.0.9-1                      armhf  X authentication utility                                     unknown
ii  xdg-user-dirs                  0.15-2                         armhf  tool to manage well known user directories                   GPL
ii  xkb-data                       2.12-1                         all    X Keyboard Extension (XKB) configuration data                unknown
ii  xml-core                       0.13+nmu2                      all    XML infrastructure and XML catalog file support              GPL
ii  xz-utils                       5.1.1alpha+20120614-2          armhf  XZ-format compression utilities                              Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  zlib1g:armhf                   1:1.2.8.dfsg-2                 armhf  compression library - runtime                                unknown
ii  zlib1g-dev:armhf               1:1.2.8.dfsg-2                 armhf  compression library - development                            unknown
