St  Name                           Version                        Arch   Description                                                  Licenses
ii  firmware-ralink                0.43+rpi5                      all    Binary firmware for Ralink wireless cards                    unknown
ii  firmware-realtek               0.43+rpi5                      all    Binary firmware for Realtek wired and wireless network adapt Binary redistribution (Realtek permissive) Binary redistribution (Realtek restrictive)
ii  g++                            4:4.9.2-2                      armhf  GNU C++ compiler                                             GPL
ii  g++-4.9                        4.9.2-10                       armhf  GNU C++ compiler                                             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc                            4:4.9.2-2                      armhf  GNU C compiler                                               GPL
ii  gcc-4.6-base:armhf             4.6.4-5+rpi1                   armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.7-base:armhf             4.7.3-11+rpi1                  armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.8-base:armhf             4.8.4-1                        armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.9                        4.9.2-10                       armhf  GNU C compiler                                               Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.9-base:armhf             4.9.2-10                       armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gdb                            7.7.1+dfsg-5                   armhf  GNU Debugger                                                 BSD-3-clause GPL-2+ GPL-3+ GPL-3+ with GCC-Runtime-3.1 exception LGPL-2+ LGPL-2.1+
ii  gdbserver                      7.7.1+dfsg-5                   armhf  GNU Debugger (remote server)                                 BSD-3-clause GPL-2+ GPL-3+ GPL-3+ with GCC-Runtime-3.1 exception LGPL-2+ LGPL-2.1+
ii  geoip-database                 20150317-1                     all    IP lookup command line tools that use the GeoIP library (cou LGPL-2
ii  git                            1:2.1.4-2.1+deb8u2             armhf  fast, scalable, distributed revision control system          Apache-2.0 BSD-2-clause Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
